	CDN002_Vs_CDN001-U34A_Signal	CDN002_Vs_CDN001-U34A_Detection	CDN002_Vs_CDN001-U34A_Detection p-value	CDN002_Vs_CDN001-U34A_Signal Log Ratio	CDN002_Vs_CDN001-U34A_Change	CDN002_Vs_CDN001-U34A_Change p-value	Descriptions
AFFX-MurIL2_at	11.2	A	0.824672	-0.3	NC	0.500000	M16762 Mouse interleukin 2 (IL-2) gene, exon 4
AFFX-MurIL10_at	37.3	A	0.514890	1.7	NC	0.425368	M37897 Mouse interleukin 10 mRNA, complete cds
AFFX-MurIL4_at	12.1	A	0.804754	-1.2	NC	0.983708	M25892 Mus musculus interleukin 4 (Il-4) mRNA, complete cds
AFFX-MurFAS_at	34.3	A	0.382599	0.5	NC	0.500000	M83649 Mus musculus Fas antigen mRNA, complete cds
AFFX-BioB-5_at	575.0	P	0.000972	0.9	I	0.000000	J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-BioB-M_at	1266.3	P	0.000052	1.2	I	0.000000	J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-BioB-3_at	598.0	P	0.000081	1.0	I	0.000000	J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-BioC-5_at	1662.7	P	0.000095	0.7	I	0.000000	J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioC-3_at	1252.2	P	0.000044	0.8	I	0.000000	J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioDn-5_at	1926.6	P	0.000060	0.9	I	0.000000	J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
