	CDN002_Vs_CDN001-U34B_Signal	CDN002_Vs_CDN001-U34B_Detection	CDN002_Vs_CDN001-U34B_Detection p-value	CDN002_Vs_CDN001-U34B_Signal Log Ratio	CDN002_Vs_CDN001-U34B_Change	CDN002_Vs_CDN001-U34B_Change p-value	Descriptions
AFFX-MurIL2_at	60.1	A	0.699394	1.3	NC	0.183909	M16762 Mouse interleukin 2 (IL-2) gene, exon 4
AFFX-MurIL10_at	68.7	A	0.645547	1.6	I	0.000001	M37897 Mouse interleukin 10 mRNA, complete cds
AFFX-MurIL4_at	10.0	A	0.937071	-2.4	NC	0.221792	M25892 Mus musculus interleukin 4 (Il-4) mRNA, complete cds
AFFX-MurFAS_at	56.1	A	0.529760	1.7	NC	0.169958	M83649 Mus musculus Fas antigen mRNA, complete cds
AFFX-BioB-5_at	400.2	P	0.039661	-0.1	NC	0.808855	J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-BioB-M_at	825.0	P	0.000581	-0.3	NC	0.736222	J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-BioB-3_at	545.2	P	0.002867	0.0	NC	0.500000	J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-BioC-5_at	1621.5	P	0.000127	0.1	NC	0.500000	J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioC-3_at	1020.3	P	0.000225	-0.0	NC	0.761888	J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioDn-5_at	1451.4	P	0.000225	-0.4	NC	0.995259	J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioDn-3_at	8252.7	P	0.000060	0.3	NC	0.500000	J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
